tx_id	tx_biotype	tx_seq_start	tx_seq_end	tx_cds_seq_start	tx_cds_seq_end	gene_id	tx_support_level	tx_id_version	gc_content	tx_external_name	tx_is_canonical	tx_name	gene_name
ENST00000585095	retained_intron	8140467	8147549	NA	NA	ENSG00000179094	3	ENST00000585095.2	59.9504662004662	PER1-218	0	ENST00000585095	PER1
ENST00000581082	protein_coding	8140467	8150832	8141068	8150706	ENSG00000179094	5	ENST00000581082.6	62.5910395056279	PER1-211	0	ENST00000581082	PER1
ENST00000317276	protein_coding	8140472	8152404	8141068	8150706	ENSG00000179094	1	ENST00000317276.9	62.6817792985458	PER1-201	1	ENST00000317276	PER1
ENST00000582719	nonsense_mediated_decay	8140800	8152344	8142822	8150706	ENSG00000179094	5	ENST00000582719.5	62.4966004895295	PER1-214	0	ENST00000582719	PER1
ENST00000583677	retained_intron	8141216	8142191	NA	NA	ENSG00000179094	1	ENST00000583677.1	59.765625	PER1-216	0	ENST00000583677	PER1
ENST00000585284	retained_intron	8141233	8142470	NA	NA	ENSG00000179094	2	ENST00000585284.1	61.822125813449	PER1-219	0	ENST00000585284	PER1
ENST00000579098	retained_intron	8142548	8143344	NA	NA	ENSG00000179094	2	ENST00000579098.1	66.4850136239782	PER1-209	0	ENST00000579098	PER1
ENST00000578089	protein_coding_CDS_not_defined	8143441	8146488	NA	NA	ENSG00000179094	3	ENST00000578089.1	65.0602409638554	PER1-205	0	ENST00000578089	PER1
ENST00000578950	retained_intron	8143757	8145170	NA	NA	ENSG00000179094	2	ENST00000578950.1	64.0740740740741	PER1-207	0	ENST00000578950	PER1
ENST00000354903	protein_coding	8144055	8156360	8144584	8156354	ENSG00000179094	2	ENST00000354903.9	62.4077046548957	PER1-202	0	ENST00000354903	PER1
ENST00000583559	protein_coding	8144056	8146024	8144072	8146024	ENSG00000179094	2	ENST00000583559.1	62.7151051625239	PER1-215	0	ENST00000583559	PER1
ENST00000581395	nonsense_mediated_decay	8144056	8156506	8146676	8150706	ENSG00000179094	2	ENST00000581395.5	62.7298223745715	PER1-212	0	ENST00000581395	PER1
ENST00000577424	retained_intron	8146869	8147582	NA	NA	ENSG00000179094	3	ENST00000577424.1	61.8210862619808	PER1-204	0	ENST00000577424	PER1
ENST00000579203	retained_intron	8147259	8148005	NA	NA	ENSG00000179094	4	ENST00000579203.1	63.1205673758865	PER1-210	0	ENST00000579203	PER1
ENST00000578223	retained_intron	8147548	8148989	NA	NA	ENSG00000179094	5	ENST00000578223.1	61.3668061366806	PER1-206	0	ENST00000578223	PER1
ENST00000579065	retained_intron	8149239	8152383	NA	NA	ENSG00000179094	5	ENST00000579065.1	61.7274167987322	PER1-208	0	ENST00000579065	PER1
ENST00000581703	protein_coding	8149975	8152435	8149975	8152432	ENSG00000179094	4	ENST00000581703.1	64.2045454545455	PER1-213	0	ENST00000581703	PER1
ENST00000577253	protein_coding	8150050	8156405	8150050	8150706	ENSG00000179094	4	ENST00000577253.5	61.6298811544992	PER1-203	0	ENST00000577253	PER1
ENST00000584202	protein_coding	8150256	8156355	8150256	8150706	ENSG00000179094	5	ENST00000584202.1	60.2430555555556	PER1-217	0	ENST00000584202	PER1
